,pick,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
61,10,Fr,Cam Reddish,70.1,2.0,10.6,10.7,1.9,2.9,26.4,0.394,0.333
62,49,Sr,Cameron Bairstow,81.1,8.5,16.6,11.8,4.9,1.0,70.0,0.5579999999999999,0.333
63,11,Sr,Cameron Johnson,74.6,6.5,13.4,13.8,1.1,2.1,26.3,0.5529999999999999,0.457
64,14,So,Cameron Payne,81.4,2.3,10.7,39.8,1.6,3.2,31.3,0.507,0.373
65,20,Jr,Caris LeVert,48.2,1.0,15.9,22.9,1.2,3.4,28.7,0.426,0.384
66,33,Sr,Carrick Felix,86.7,7.1,18.5,9.6,3.2,2.4,32.3,0.573,0.374
67,33,Jr,Carsen Edwards,87.3,1.3,10.7,18.3,1.0,2.3,31.4,0.44,0.355
68,54,Fr,Cassius Stanley,63.1,7.6,11.7,6.6,2.4,1.4,38.9,0.527,0.36
69,53,Sr,Cassius Winston,78.9,0.7,7.1,36.3,0.1,2.1,32.7,0.459,0.4320000000000001
70,22,Sr,Chandler Hutchison,74.3,3.2,25.6,23.6,1.0,2.8,51.4,0.525,0.35
71,38,Sr,Chandler Parsons,81.1,7.3,19.3,21.6,1.3,1.7,30.0,0.544,0.368
72,44,Sr,Charles Jenkins,92.4,1.6,8.6,31.3,1.8,2.7,46.3,0.555,0.414
73,44,Jr,Chase Budinger,93.7,4.9,14.8,19.0,1.4,2.3,34.2,0.528,0.399
74,49,Jr,Chimezie Metu,72.1,7.3,21.2,10.0,6.3,1.5,38.8,0.5479999999999999,0.3
75,37,So,Chinanu Onuaku,61.5,13.7,25.8,12.9,9.6,1.9,25.3,0.623,0.0
76,59,Jr,Chinemelu Elonu,59.1,13.8,21.5,2.9,6.7,0.8,59.5,0.6629999999999999,0.0
77,40,Jr,Chris Douglas-Roberts,71.2,5.0,10.5,12.8,1.6,2.4,47.2,0.578,0.413
78,18,Jr,Chris Singleton,59.6,8.2,17.0,8.9,5.9,3.9,44.1,0.466,0.368
