RK	PLAYER	TEAM	CONF	MIN%	OR	DR	AST	BLK	STL	FTR	2P	3P
87	Fr	6-9	Andrew Carr	Delaware	CAA	63.8	5.8	11.2	13.5	3.5	0.8	35.2	33-63	.524	8-28	.286
88	Jr	6-5	Andrew Funk	Bucknell	Pat	84.6	0.9	12.6	8.5	0.2	1.2	33.1	33-57	.579	18-67	.269
89	Sr	6-6	Andrew Garcia	Georgia	SEC	42.8	13.4	12.6	5.9	1.7	1.8	43.5	81-148	.547	1-6	.167
90	Jr	6-4	Andrew Jones	Texas	B12	74.5	2.3	13.2	15.2	0.3	1.9	26.3	74-157	.471	54-159	.340
91	Jr	6-5	Andrew Nembhard	Gonzaga	WCC	74.4	0.8	8.0	20.2	0.3	1.9	25.1	77-128	.602	32-99	.323
92	So	6-3	Andrew Taylor	Marshall	CUSA	81.9	3.3	15.6	20.6	0.7	2.5	13.8	73-126	.579	32-77	.416
93	Jr	6-7	Angelo Allegri	UNC Greensboro	SC	60.2	4.8	13.5	3.6	0.2	1.4	12.7	35-80	.438	48-148	.324
94	Jr	6-8	Anthony Crump	Northern Illinois	MAC	50.1	4.0	15.6	7.6	0.6	1.2	25.6	26-74	.351	5-16	.313
95	Sr	6-8	Anthony D'Avanzo	Southern Illinois	MVC	51.2	5.0	17.8	12.7	3.6	2.4	24.4	56-100	.560	17-56	.304
96	Jr	6-7	Anthony Duruji	Florida	SEC	54.8	8.0	14.8	4.7	2.2	1.4	19.9	54-108	.500	10-38	.263
97	Sr	6-8	Anthony Fairley	Alcorn St.	SWAC	42.8	8.0	20.4	5.1	5.0	1.9	40.4	29-47	.617	0-0	.000
98	Sr	6-4	Anthony Gaines	Northwestern	B10	51.7	4.9	17.6	9.0	1.5	1.7	40.6	23-44	.523	8-25	.320
99	So	6-5	Anthony Holland	Fresno St.	MWC	65.5	5.5	13.2	7.6	1.9	1.7	21.8	14-28	.500	22-73	.301
100	Sr	6-5	Anthony Jones	Western Illinois	Sum	43.2	3.5	11.9	15.2	0.0	0.9	67.5	31-66	.470	2-17	.118
101	Jr	6-4	Anthony Nelson	Manhattan	MAAC	76.7	2.3	10.9	23.2	0.7	2.2	43.0	68-163	.417	19-67	.284
102	Jr	6-6	Anthony Polite	Florida St.	ACC	55.2	6.1	12.7	12.0	1.8	3.1	28.0	41-72	.569	34-78	.436
103	Fr	6-6	Anthony Selden	Gardner Webb	BSth	43.0	3.4	13.0	6.4	4.4	1.3	16.9	20-43	.465	25-87	.287
104	Sr	6-6	Anthony Tarke	Coppin St.	MEAC	87.0	4.4	17.8	23.0	5.4	3.8	60.9	96-178	.539	25-78	.321
105	Fr	6-7	Anthony Thomas	Tennessee Martin	OVC	54.1	3.9	10.2	6.5	1.3	1.5	17.4	48-116	.414	20-68	.294
106	So	6-9	Anthony Walker	Miami FL	ACC	63.3	4.8	15.7	8.5	3.6	1.6	34.1	76-150	.507	15-64	.234
107	Jr	6-1	Antoine Davis	Detroit	Horz	95.6	0.6	8.5	26.7	0.0	2.2	22.9	95-197	.482	83-223	.372
108	So	6-8	Anton Watson	Gonzaga	WCC	47.2	6.2	13.8	9.1	3.3	3.4	42.6	86-121	.711	3-20	.150
109	Jr	6-1	Antonio Daye, Jr.	FIU	CUSA	65.1	2.5	14.6	28.2	0.3	3.8	40.4	89-176	.506	17-64	.266
110	So	6-9	Antonio Gordon	Kansas St.	B12	44.0	11.8	17.4	7.9	1.8	1.5	25.2	43-77	.558	6-34	.176
111	So	6-5	Antonio Reeves	Illinois St.	MVC	74.5	2.7	9.5	8.9	0.9	0.7	28.1	74-148	.500	31-105	.295
112	Jr	6-3	Antonio Rizzuto	Albany	AE	73.8	1.4	5.6	4.9	0.7	1.6	22.2	30-57	.526	38-105	.362
113	Jr	6-7	Antwan Walker	Rhode Island	A10	55.3	8.3	22.9	10.5	3.5	1.2	26.5	87-131	.664	8-31	.258
114	Jr	6-0	Antwuan Butler	NJIT	AE	58.2	2.9	12.0	16.2	1.0	2.1	39.6	24-62	.387	10-34	.294
115	Fr	6-4	Anwar Gill	La Salle	A10	42.1	3.4	13.4	11.7	0.8	2.4	22.9	45-115	.391	5-16	.313
116	Sr	6-9	Arinze Chidom	UC Riverside	BW	58.5	7.6	15.6	12.7	3.1	2.4	19.7	85-172	.494	21-56	.375
117	So	6-4	Armaan Franklin	Indiana	B10	59.5	2.3	13.8	15.6	0.9	2.3	26.6	51-118	.432	36-85	.424
118	So	6-10	Armando Bacot	North Carolina	ACC	56.6	14.5	22.3	7.3	4.3	1.6	58.3	137-217	.631	0-1	.000
119	So	6-4	Armon Harried	Canisius	MAAC	56.2	5.8	13.9	3.3	2.8	1.7	45.3	20-52	.385	10-34	.294
120	Sr	5-10	Asante Gist	Iona	MAAC	65.1	0.5	7.2	24.6	0.3	1.5	49.1	36-100	.360	23-69	.333
121	Sr	7-0	Asbjorn Midtgaard	Grand Canyon	WAC	74.8	11.4	25.4	4.7	4.9	0.8	59.0	112-159	.704	0-2	.000
122	Jr	6-6	Au'Diese Toney	Pittsburgh	ACC	63.6	7.2	11.9	13.4	0.4	2.1	52.4	59-113	.522	18-53	.340
123	Sr	6-5	Austin Butler	Holy Cross	Pat	82.9	6.6	23.8	7.5	0.8	2.8	28.4	71-138	.514	27-59	.458
124	Fr	6-6	Austin Harvell	Tennessee Tech	OVC	52.7	6.2	17.4	6.2	1.7	1.9	14.5	31-69	.449	25-69	.362
